Proteomics,RNA,ChIP
slc2a1,gab3,Gm16833
slc2a13,chrm1,Elk4
slc2a3,alas1,Ndufb9
slc2a6,cyp2c38,Mir6400
slc2a8,x2410131k14rik,Msh5
slc30a5,acsl3,Col18a1
slc30a6,fbxo21,Atp8b1
slc30a7,npat,Edc3
slc31a1,lss,Synpo
slc35a1,x3830406c13rik,1300002E11Rik
slc35b2,phldb2,Rprd2
slc35e1,rac2,Hnf4aos
slc36a1,hsf4,Elmsan1
slc37a3,shf,Tmem19
slc38a9,ttll4,Sult2a8
slc39a1,tnxb,Eno1
slc39a3,fntb,Noct
slc39a8,agl,Nr1d1
slc44a1,tagap,Wdr5
slc46a1,cdc14a,Mup8
slc46a3,idua,B930025P03Rik
slc52a2,map3k13,Rbp4
slit2,aw554918,Galnt2
smc1a,gabrb3,Abcb4
smcr8,foxn3,St5
smg1,recql4,Acd
smim1,nrxn2,Oaf
smoc1,ccp110,Madd
smpd1,gde1,Tmem106b
smpdl3a,mga,Gm15638
smpdl3b,tnks1bp1,Bahcc1
snap23,zfp446,Cdk20
snapin,dnah17,Abhd17c
snx11,x4930590j08rik,Tmed4
snx15,kctd7,Pcyt2
snx18,lrrc58,Mir3067
sod1,ogt,Cep250
sorl1,rnf43,Abcd3
sox2,gpc1,Rasgef1b
sp9,hdac11,Per2
spag7,slc25a37,Gm4952
spg11,kctd9,Mup20
spg21,exph5,Efna1
spns1,slc41a2,Man2a1
sppl2a,zcchc11,Myo1b
spryd7,fras1,Rapgef2
sqstm1,pcdh11x,Hs3st3b1
sra1,dsg1c,Mup7
srrm1,b3galt1,Dreh
stard3,cobll1,Gclc
stard3nl,pygo1,Hgd
stk11ip,dhcr24,0610043K17Rik
stom,arl4d,Cyb5a
stx12,tmem106a,Map3k5
stx16,baz1a,Ppat
stx3,eef2k,F730035M05Rik
stx5,wnk4,Ptprd
stx6,ubd,Sec24a
stx7,ror1,Zfand5
stx8,tmem98,4932702P03Rik
stxbp2,haus8,Cyp27a1
sv2a,myo1d,Stk11
syngr1,tgfbi,Etnk2
syngr2,fbxl21,Mogat2
syp,leng8,Mir1981
sypl1,pcdh17,Il1r1
syt1,dcaf10,Wipi2
szt2,iqcg,Scd1
taf8,bbs10,Por
tbc1d5,kiss1r,Mapk14
tbcd,pim3,Mir295
tcof1,alg12,Cyp3a11
tes,palm,Rfxap
tfe3,pawr,G6pc
tfeb,zhx3,Neat1
tgfbr1,cd276,Arid5b
tgoln2,h2.q4,Arg1
timm10b,pknox2,Gsta2
tm2d2,tdp2,Etfbkmt
tm7sf3,fnip1,Tef
tm9sf1,fam214b,Atp8b4
tm9sf3,fam65b,Zfand4
tm9sf4,mbnl3,Cps1
tma16,fam110c,Map3k7cl
tmed1,rbm43,Hnf4a
tmed10,gadd45a,Ten1
tmed3,x9530077c05rik,Gm29669
tmed4,btg1,Acmsd
tmed7,fam13b,Masp1
tmem104,adamts2,Slc40a1
tmem106b,arhgap21,Clip1
tmem106c,eepd1,Ubb
tmem115,ccdc148,As3mt
tmem120a,tmem184a,Alpl
tmem123,amdhd2,Rxra
tmem14c,dchs1,Shmt2
