Proteomics,RNA,ChIP
,,Tesmin
,,Tshz3
,,Mia3
,,Kmt5a
,,Gm29687
,,Trmt13
,,Asic2
,,U90926
,,Notch2
,,Snord14d
,,D230025D16Rik
,,1700029F12Rik
,,H13
,,Mef2d
,,Ak4
,,Sdc2
,,Ilkap
,,Hsd17b4
,,Itch
,,4933416M06Rik
,,Ppp6r3
,,Ctnnb1
,,Srsf5
,,Il15
,,Gm5086
,,Xrn1
,,Mir872
,,Exd1
,,Syncrip
,,Ubtf
,,Atm
,,Ap1b1
,,Lamp1
,,Pi4k2a
,,Pdlim5
,,Adam6a
,,Gas2l3
,,Ddx6
,,Hibadh
,,F7
,,Nfyc
,,4921509O07Rik
,,Gstm3
,,Nasp
,,Gm12159
,,Usf3
,,Ttc41
,,2010009K17Rik
,,Tmem265
,,Mir6973b
,,Ddx17
,,Nedd4
,,Xpo1
,,Chn2
,,Mir6936
,,Lsm6
,,Cpeb3
,,Ptpn23
,,Otud1
,,Lrrc28
,,Hes6
,,Rapgef6
,,F2rl2
,,Cyp2r1
,,Ep400
,,Nsmce2
,,Rrm2b
,,Gramd1c
,,Slc36a1
,,Wif1
,,Ywhae
,,Mir3065
,,Erbin
,,Dbx1
,,Herc1
,,Crem
,,Prph2
,,Cyp4a10
,,Kif14
,,Rpl5
,,Pus1
,,Rpia
,,Minar2
,,Nhp2
,,Prmt9
,,Cdk11b
,,Ube2k
,,Copz1
,,Hist1h2bg
,,5930430L01Rik
,,Mir8118
,,Ttc25
,,Eif4g2
,,Amotl2
,,Gm12500
,,4930579D09Rik
,,Mir3084-1
,,Zfp326
,,Tkfc
,,Mark3
,,Pecr
,,Tox2
,,Plxna2
,,Fem1c
,,Taar1
,,Ldlrad3
,,Ube2g1
,,Rbck1
,,Gm13293
,,Pter
,,Ncor2
,,Stx2
,,Cyp1a2
,,Dop1a
,,Pan3
,,Rassf8
,,Wrap53
,,Rbm18
,,Sptan1
,,Egr3
,,4930562C15Rik
,,Ppp1cb
,,Srrm1
,,Zfp648
,,2610507B11Rik
,,Bfsp1
,,Tmem30b
,,Wasf2
,,Desi2
,,Otud4
,,Sinhcaf
,,Olfr371
,,B930095G15Rik
,,Bvht
,,Sntb1
,,Cebpz
,,Smad6
,,Hnmt
,,Prrc2a
,,Crat
,,Mir688
,,Spx
,,Nbeal1
,,Tbk1
,,Ephb4
,,Mir5104
,,Ppfia1
,,Ypel5
,,Siglecf
,,Lclat1
,,Csde1
,,Mapk1ip1l
,,Lrrc42
,,Cct8
,,Patl1
,,Gm12695
,,Ddx52
,,Gpld1
,,Nelfe
,,Mst1
,,Nfe2l1
,,1810053B23Rik
,,Prdm9
,,Znrf2
,,Msmo1
,,Zfp874b
,,Mir6335
,,Mir7657
,,Snhg1
,,1810034E14Rik
,,Gm31508
,,Dync2li1
,,Dock9
,,Cyp2w1
,,Wwp2
,,Map7d1
,,Zfp433
,,Golt1a
,,Fads2
,,Ndufa13
,,Kcnk5
,,Brd4
,,Snord32a
,,Nme2
,,Mir1960
,,Cyp2a4
,,Qk
,,Tceanc2
,,Bmp1
,,Rpp14
,,Grm7
,,Map1lc3b
,,Dus3l
,,Slc13a1
,,Rnpep
,,Rarres1
,,Ccnb2
,,Zfand6
,,Six4
,,Ext2
,,Pisd
,,Tsc1
,,Fcer1g
,,Cyp4f15
,,Mtf1
,,Atp6v1d
,,Ftcd
,,Pcif1
,,4933415F23Rik
,,Sftpa1
,,Ptprk
,,Gapvd1
,,Dync1li1
,,Slc41a3
,,Mir12185
,,Pa2g4
,,Slc39a4
,,Aldh3a2
,,Prpf38a
,,Rsrc2
,,Znrf3
,,Tpcn1
,,Apbb3
,,Arap1
,,Mir6415
,,Drd4
,,Prkce
,,Eri2
,,Rnh1
,,Eef1g
,,Slc25a42
,,Fhad1os1
,,Emilin3
,,Poglut3
,,R3hcc1l
,,Atp1b1
,,Pum1
,,C3
,,Tec
,,Agps
,,Pde7b
,,Chac2
,,9030025P20Rik
,,Prpf8
,,Gtf2e1
,,Rnf24
,,Uqcr10
,,4833439L19Rik
,,Cyp7a1
,,Zfyve16
,,Cecr2
,,Car13
,,Rfc4
,,Nodal
,,Mir3963
,,Tbce
,,Aldh9a1
,,Iqcn
,,Ppp1ccb
,,Gm20753
,,Decr2
,,Gm6566
,,Chrna2
,,Particl
,,Tmem268
,,Mir455
,,Prf1
,,Gm15471
,,Mir6344
,,Ino80d
,,D830032E09Rik
,,Coa5
,,Tbc1d16
,,Ntsr2
,,Mettl7a1
,,Fkbp4
,,Gm3137
,,Gm10778
,,Maco1
,,Evi5
,,Nckipsd
,,Cd36
,,Nhej1
,,Rbm44
,,Pex19
,,Herc2
,,Pex16
,,Edrf1
,,Dpagt1
,,Bbc3
,,Vmac
,,Aloxe3
,,Rnf44
,,Trit1
,,Mir3968
,,Dcaf10
,,Pkdcc
,,C1qtnf6
,,Zbed4
,,Slc41a2
,,Adcy1
,,St13
,,Larp1b
,,Zhx2
,,Ces1b
,,Nectin3
,,Ehf
,,Ugt3a1
,,Mtmr4
,,Afp
,,Epg5
,,Mir7082
,,Cd47
,,Ptgfr
,,Prdm10
,,Smarcc1
,,2610206C17Rik
,,9530052E02Rik
,,Pcyox1
,,Hnrnpul2
,,Nup85
,,Psd3
,,Celf2
,,Ccdc68
,,Rfc1
,,Ptbp1
,,LOC102631993
,,Srsf11
,,Fancf
,,Manf
,,Ide
,,Mir7116
,,Gm13498
,,Nrp2
,,Zbtb5
,,Mn1
,,Tent2
,,Esr1
,,Rap1a
,,Mir3473c
,,Rab14
,,Copb1
,,Gm4285
,,Gm11917
,,Coa7
,,Msl2
,,4930523C07Rik
,,Cmtm6
,,Sirt4
,,Cpeb4
,,A730063M14Rik
,,Tex35
,,Rnf139
,,Tbc1d9b
,,Dhtkd1
,,1700034P13Rik
,,Saa3
,,H2afv
,,Casp9
,,Olfr1423
,,Syt2
,,Oxtr
,,4921529L05Rik
,,Adam11
,,Dera
,,Cept1
,,Ptpn3
,,Retreg2
,,Sdhaf4
,,Ubxn1
,,Rcbtb1
,,Hist1h3f
,,Gm13570
,,Nox4
,,Rbbp4
,,Paxbp1
,,Idh2
,,Sod1
,,Akr1c20
,,Ints8
,,Ccnd3
,,Pigr
,,Ccdc162
,,Tmem69
,,Akirin2
,,Neu2
,,Mir6349
,,Dnajc25
,,Nr1d2
,,Zfp568
,,Son
,,Ndufa4
,,Ptrhd1
,,Mrpl50
,,Gm15343
,,1700001C02Rik
,,2310011J03Rik
,,Mageb3
,,Atp5g1
,,Cnbd2
,,Il23r
,,Chmp5
,,Tmem120b
,,Rbx1
,,Smad2
,,Mcph1
,,Anapc1
,,Ank
,,Tomm20
,,Tsc22d2
,,Tmem177
,,Asph
,,Vpreb3
,,Tmem44
,,Ctcfl
,,Pop5
,,Mir122b
,,Abcg5
,,Gpr135
,,Erp27
,,Dnajb9
,,Pgam1
,,B3galnt2
,,Tex33
,,Arel1
,,Supt16
,,Hps4
,,Psmd11
,,Lcor
,,Prss48
,,Ccdc47
,,Ankfy1
,,Atp23
,,Rps9
,,Tmem255b
,,Mir5128
,,Ice2
,,Pan2
,,Scml4
,,Ythdc1
,,Arhgap26
,,Hdlbp
,,Tmtc2
,,Clk3
,,Rmdn2
,,Tpst1
,,Eral1
,,F3
,,Gigyf2
,,Stmn1-rs1
,,Gpr84
,,Nlrc5
,,Elf1
,,A330069E16Rik
,,Emc9
,,Snord8
,,Mettl22
,,Fdps
,,Ndufa4l2
,,Isg20l2
,,Mex3d
,,Taf13
,,1700061I17Rik
,,Lrch3
,,Gatd1
,,Serpina5
,,Tmem186
,,1700048O20Rik
,,Chmp7
,,Psmb6
,,Tbc1d24
,,Morn4
,,1110028F18Rik
,,Gm14403
,,Plekhb2
,,Nf2
,,Kansl3
,,Mir687
,,Apol8
,,Lgi4
,,Tbx3
,,Usp24
,,Tusc2
,,Xpnpep3
,,Tmem37
,,Ube2r2
,,Tab2
,,Cdip1
,,Tmem106c
,,4930518J21Rik
,,A930012L18Rik
,,Flrt1
,,Wdr4
,,Fnta
,,Apba2
,,Arrb2
,,Nudt3
,,4930522O17Rik
,,Lrtm1
,,Slc35a3
,,Ccdc171
,,Eif3h
,,Nnt
,,Mrpl36
,,Cmtm4
,,Tubb2a
,,Trim28
,,Glyr1
,,Tpp2
,,Gimap9
,,Klhdc10
,,Polr2a
,,Plxnb1
,,Rap2a
,,Gtpbp4
,,Hist1h2bb
,,Sgk1
,,Rtp3
,,Srrm2
,,Parva
,,Gm4841
,,Pcgf5
,,Mrpl9
,,Ptges3
,,Peli1
,,Wdr37
,,Trmt112
,,Maml3
,,AI837181
,,Lsm12
,,Gtf2ird1
,,S1pr5
,,Pym1
,,Mospd4
,,Usp8
,,Pea15a
,,Cfap126
,,Zfp280d
,,Nprl3
,,Cplx4
,,Gabarapl2
,,Pds5a
,,4930441H08Rik
,,Mdfic
,,Dlx2
,,S1pr2
,,Nipbl
,,Fign
,,Cox6a1
,,Plec
,,Pparg
,,Akr1b7
,,Fkbp14
,,1700129C05Rik
,,Ambp
,,1600019K03Rik
,,A730036I17Rik
,,1700010N08Rik
,,Tomm7
,,Ccdc66
,,Gss
,,Asxl1
,,Ndfip1
,,Litaf
,,Cdk19
,,Gpr75
,,Tctex1d2
,,Gm15401
,,A730090N16Rik
,,Mturn
,,Ttc9c
,,4930467J12Rik
,,Bclaf1
,,Krt8
,,Eif5
,,Masp2
,,Abcb8
,,Pik3c2a
,,Gm33677
,,Mir148b
,,Prpsap1
,,Utp6
,,Xirp1
,,L3mbtl2
,,Tsen2
,,Mthfsd
,,Lzts2
,,Glul
,,Surf4
,,Ddx50
,,Wnt5b
,,Slmap
,,Rpl7
,,Ndrg1
,,Slc39a8
,,Aox4
,,Rmnd1
,,Gtf2i
,,Dock4
,,Mon2
,,Gpr21
,,Mir7085
,,Immp2l
,,Rilp
,,4930481A15Rik
,,Mki67
,,Car8
,,4833418N02Rik
,,Mavs
,,Mir684-1
,,Uri1
,,C2cd4a
,,Mirt2
,,Ric1
,,Cox6c
,,Ltn1
,,Tnfaip3
,,Fam166b
,,Cbx4
,,Mta2
,,Mir7031
,,Nars2
,,Ppl
,,Trim32
,,B930018H19Rik
,,Mesd
,,N4bp1
,,Zc3h7a
,,Ttc36
,,Mir7043
,,Gm15743
,,Cyp2g1
,,Mcur1
,,Lpar5
,,Nlk
,,Mir7009
,,Caly
,,Uchl3
,,Hyal2
,,Ankrd17
,,Tuba1c
,,Coa6
,,Mir6898
,,Adap2
,,Baz1b
,,L3hypdh
,,Nat8f5
,,Nipsnap3b
,,Mef2a
,,Coa3
,,Timmdc1
,,Tnfaip2
,,Srp72
,,2300009A05Rik
,,Prkg2
,,Gm5088
,,Zfp81
,,Gm10787
,,Ube4b
,,Mir5615-1
,,Mir6911
,,Znhit2
,,Thnsl2
,,Fam124a
,,Ehbp1
,,Rtp4
,,A730013G03Rik
,,Trpm3
,,Zmym4
,,Ets2
,,Ror1
,,Sgf29
,,Gon4l
,,Cplane1
,,Fxn
,,Adora1
,,Slc22a22
,,Ccdc9
,,Plin5
,,S100a13
,,Socs2
,,Rpl23a
,,Ccnl2
,,Ctsh
,,Irf5
,,Ublcp1
,,Pou2f1
,,Pcgf6
,,Wdr13
,,Mir7021
,,F2
,,Hmbs
,,Cnnm4
,,Mpdz
,,AV039307
,,Tcf7l1
,,AI463170
,,Ddx21
,,Sowahb
,,Poli
,,Noc3l
,,Mirlet7g
,,Tmem169
,,Cenpa
,,Mir8098
,,Itfg2
,,Mir3113
,,Echdc1
,,Gcnt7
,,Tigd3
,,Snx29
,,Snap25
,,9330104G04Rik
,,Mesp2
,,Gtf2f2
,,Hnrnph1
,,Riok3
,,Slc13a2
,,Neurod2
,,Pcyt1a
,,Gpi1
,,Col5a3
,,Cox7a2
,,Cblc
,,Usp14
,,Nabp2
,,Baz2a
,,Lpxn
,,Ptcd3
,,Adamts7
,,A630075F10Rik
,,Zpr1
,,Plet1os
,,Pdia4
,,Thoc1
,,2310043M15Rik
,,Ndufb4
,,Adipoq
,,Nop10
,,Atp5l
,,Acsl5
,,Rps6ka1
,,Rpain
,,Sec14l1
,,E2f8
,,C1galt1
,,Suclg1
,,Msra
,,Usp34
,,Hmox2
,,4931406C07Rik
,,Paqr3
,,Map3k2
,,Sco2
,,Fnbp4
,,Alyref2
,,Cd164
,,Pdzd8
,,Raly
,,Ints13
,,Adra1b
,,Grik4
,,Nab1
,,Crym
,,Chp1
,,Oser1
,,Ppfibp2
,,Arfgap3
,,Ctsk
,,Ndufaf7
,,C130080G10Rik
,,Irgq
,,Ncoa3
,,Pde1a
,,Ndufa7
,,Plpp5
,,Fbxo33
,,Dnaja1
,,Prdx1
,,Cyp3a41a
,,Ccdc17
,,Ubr1
,,Rps15a-ps6
,,Pnpla7
,,2010315B03Rik
,,Bhlhe22
,,Gorasp2
,,Mir30a
,,Gm5524
,,Gm6225
,,4930448I06Rik
,,Cox20
,,Bche
,,Alx3
,,Srsf3
,,Tmc6
,,1810019D21Rik
,,Bmpr1a
,,Rdh9
,,Rps6kb1
,,Trmt10a
,,Brd2
,,Maml1
,,Gsr
,,Agbl2
,,Samhd1
,,Cse1l
,,Mir7676-1
,,Bcl7b
,,Mup2
,,Lrrn4
,,Rybp
,,Ppp1r9a
,,Eef2k
,,Fkbp15
,,Mir5103
,,Cnot11
,,6030498E09Rik
,,H1f0
,,4933400F21Rik
,,Spg11
,,Mroh1
,,Tmem88
,,Pak7
,,Cyp2c29
,,Ubr5
,,Nanos1
,,Hao2
,,Kcnj8
,,Zfp592
,,Gtpbp6
,,Kin
,,Serpina9
,,Slc2a1
,,Mtfr1
,,Ppp1r3a
,,Bik
,,Eogt
,,Sh3glb1
,,Zfp971
,,Sft2d1
,,Tpt1
,,Pcsk5
,,Gsdme
,,Mir7034
,,Mpv17l
,,Treh
,,Cenpu
,,Rnu3a
,,Gmps
,,Tmem219
,,Sirt1
,,Pou2f3
,,Rhot1
,,Gm36669
,,B3gnt9
,,Gm21992
,,Angptl6
,,Csnk1g2
,,Swt1
,,Ttc38
,,Xcl1
,,Eepd1
,,Slc11a2
,,Dhx32
,,Zfas1
,,Nceh1
,,Mtor
,,Ktn1
,,Tom1l2
,,Sardh
,,Dhrs9
,,Nup155
,,Pop1
,,Mir7224
,,Aplp2
,,Akr1c19
,,Mir2139
,,Pbld2
,,Plbd2
,,Gm11981
,,Psma5
,,Rapgef1
,,Rab6b
,,Mir3105
,,Sntg2
,,Dipk2a
,,Tfap4
,,Ralgps2
,,Dner
,,Chrna10
,,Dab2
,,Rmnd5b
,,Atp5j
,,Tcf7l2
,,Tbl3
,,Nat8f4
,,Gm40893
,,Cyp4f13
,,Faap100
,,Nrg4
,,Dus1l
,,Atg4d
,,Gm17762
,,Exosc5
,,Gmfb
,,Kdm5b
,,Dip2b
,,Tulp2
,,Xrcc5
,,Mir6353
,,Rassf6
,,Mir6993
,,Ewsr1
,,Taf12
,,AW549877
,,Etf1
,,Hadhb
,,Slc46a3
,,Nav2
,,Gm31333
,,Il23a
,,Asxl2
,,Rpn1
,,Ces2h
,,Gm15569
,,Zbtb45
,,Trex1
,,Slc23a3
,,Slc30a8
,,Adi1
,,Vcp
,,1600002K03Rik
,,Gm4788
,,Pop4
,,Cbln3
,,Luzp1
,,0610010F05Rik
,,A330023F24Rik
,,Dusp14
,,Rcl1
,,Armc5
,,Cenpw
,,Ralgapb
,,Nipa2
,,Mir1958
,,Ss18l2
,,Ankhd1
,,Mast3
,,Traf1
,,Kbtbd2
,,Magi1
,,Sec63
,,Mbl2
,,Gsk3b
,,Gm16364
,,Pih1d1
,,Ddx5
,,Ube4a
,,Zfpm1
,,Tatdn1
,,Map4
,,Aatf
,,Pgghg
,,Slc30a9
,,4930577N17Rik
,,Mrpl54
,,Specc1l
,,Ddhd2
,,Ciart
,,Tsga10
,,Ube3a
,,Rab8a
,,Nup88
,,Snapin
,,Ppp1r12a
,,Gm16675
,,Zfp62
,,Hes7
,,Pnpo
,,Sp2
,,Ly96
,,Rsl1d1
,,Tjp3
,,Sh2b1
,,Uimc1
,,Gm11468
,,Tent5a
,,Rrp8
,,Ropn1l
,,1700019P21Rik
,,Sucla2
,,Dis3l2
,,Tmpo
,,Kdm2a
,,Ccl2
,,Mir6937
,,Arsa
,,Ccdc152
,,Zmym1
,,Oxsr1
,,Ckap5
,,Cfb
,,Sphk2
,,1810013L24Rik
,,Itpr2
,,Mir505
,,Zfand2b
,,Il17rb
,,Rnf141
,,Npat
,,Etnk1
,,Etaa1
,,Mir1191b
,,Zfp410
,,Lsm3
,,Vti1b
,,Mtmr11
,,Scamp1
,,Gp5
,,Inhbb
,,Tafa1
,,9530080O11Rik
,,Plekha1
,,Epb41l5
,,Tmem167b
,,Zcchc8
,,Tnip1
,,Gas1
,,Plk2
,,Dcaf8
,,Tfip11
,,Coq9
,,Rer1
,,Mir6398
,,Akr1a1
,,C2
,,Ninj2
,,Psmb3
,,Cenpv
,,Acat2
,,Ppif
,,Rpl31
,,Mrpl37
,,Cdc37l1
,,Trp53bp2
,,Cyp3a16
,,Gdf9
,,Podxl
,,BC006965
,,Pth2r
,,Rps15
,,Wnt9b
,,Gm38431
,,Zfp956
,,Mrpl44
,,Tusc3
,,Thra
,,Pvt1
,,Zscan21
,,Srrm4os
,,Tpi1
,,Nckap1
,,Ccdc166
,,Snrpd3
,,Omd
,,Afg3l1
,,Rras2
,,Atp5o
,,Carmn
,,Brox
,,Yap1
,,Kctd13
,,Slc24a1
,,Prpf6
,,Gm36712
,,Ube2b
,,4930488B22Rik
,,Mir5624
,,Cpped1
,,1110059E24Rik
,,Wfikkn2
,,Dennd2d
,,Slc38a11
,,Moxd1
,,Prkar1a
,,Gm960
,,Fubp1
,,D6Ertd474e
,,Peli2
,,Psmc4
,,Erp29
,,Stk38
,,Mpv17l2
,,Nxph3
,,Frmd8
,,Iqcc
,,Adcy10
,,Gm16023
,,Acss2
,,Cd14
,,Myl6
,,Pnn
,,Phip
,,Vmn2r20
,,Men1
,,Slx4ip
,,Tmx3
,,Seh1l
,,Tle2
,,Chordc1
,,Pkd1
,,Simc1
,,A930037H05Rik
,,Ralgps1
,,Arrdc2
,,Os9
,,Syde2
,,Gm3417
,,Ankrd55
,,Erbb4
,,Efcab11
,,Gm17753
,,Opa1
,,Mir7057
,,Ppme1
,,Hist1h3g
,,Ptgr2
,,Nkiras1
,,Lsm7
,,Trabd
,,Mir340
,,Epm2aip1
,,Tcp1
,,Atcayos
,,Jmy
,,Khdrbs3
,,Gm5136
,,4930558J18Rik
,,4931423N10Rik
,,Serinc1
,,Alox5ap
,,Hspa13
,,Atxn10
,,Tfrc
,,Plcl2
,,Psmb9
,,Gm29571
,,Pax1
,,Rnf114
,,Plxdc1
,,Cyp2b9
,,Acad12
,,Pdia3
,,Fbxo36
,,Psmb10
,,H2-DMa
,,Cinp
,,Bicd1
,,Tm4sf1
,,A930006K02Rik
,,Klhl11
,,Zfp874a
,,Gm4876
,,Trim41
,,Tlr5
,,Dhx36
,,Sema4a
,,4930509E16Rik
,,Cd96
,,Gtdc1
,,Cnnm1
,,Serp1
,,Fam160a1
,,Mir3473a
,,C2cd2l
,,Ier5l
,,Zcchc14
,,Ppp6c
,,Rabggta
,,Gm9899
,,Leng8
,,Psmg4
,,Enpp3
,,Dennd1b
,,Mx2
,,Mtmr10
,,Snupn
,,Crkl
,,Hist1h4m
,,Nsun6
,,Srp54a
,,Arhgap5
,,Bola1
,,Xrcc2
,,2310030G06Rik
,,Slc37a1
,,Glmp
,,Styx
,,Gm11837
,,Akr7a5
,,Fzd7
,,Ehmt2
,,Smoc1
,,Trim69
,,Capn7
,,Rps6
,,Kcnmb4
,,Fam49b
,,Rabgef1
,,Myrf
,,Tm2d1
,,Hist1h3e
,,Top1
,,Noxred1
,,Ythdf2
,,Car3
,,Dglucy
,,1700047A11Rik
,,3110099E03Rik
,,Pgm2
,,Sdhc
,,Stard5
,,Mir130a
,,Nkx2-6
,,Uggt1
,,Psme4
,,Mir7687
,,Gars
,,Comp
,,Erdr1
,,Prdx2
,,Irgm2
,,Pfkfb2
,,Sec23a
,,Bnip1
,,Fscn1
,,Nup98
,,Mir215
,,Atp5md
,,Usp47
,,Suz12
,,Wfdc21
,,Cox18
,,Mertk
,,Mir99ahg
,,Laptm4a
,,A330032B11Rik
,,Mup9
,,Hmgcs1
,,Mrpl39
,,Tmem266
,,2010308F09Rik
,,Rpl11
,,Nipsnap1
,,Dnajc7
,,Gm5577
,,Zcchc24
,,Rit1
,,Pkp4
,,Rps12
,,Tcf4
,,Katna1
,,Kif5b
,,Ces1f
,,Ldhd
,,Srsf7
,,Heca
,,Gm36028
,,Jak2
,,Fblim1
,,Spast
,,Rps26
,,Donson
,,Isy1
,,Fam120a
,,Snx4
,,Sigmar1
,,Cactin
,,Mprip
,,Atxn2l
,,1700109G15Rik
,,Ripk4
,,1700060C20Rik
,,Ufl1
,,Slc24a3
,,Tnpo1
,,Zmiz2
,,Apip
,,Serpinf1
,,Cdkl3
,,Cox4i2
,,Gstk1
,,Sirt7
,,C1d
,,Lipt1
,,Kctd6
,,Apoa4
,,Ocel1
,,2010003K11Rik
,,Arl6ip1
,,D730003I15Rik
,,Abcg1
,,Adcy2
,,Sult1b1
,,Sbds
,,Ptgds
,,Gm9833
,,Usp18
,,Adssl1
,,Gm20036
,,Morf4l1b
,,Shtn1
,,Mirlet7f-2
,,Apcs
,,Ces2e
,,Lrrtm2
,,Pakap
,,Gm6961
,,Zfp119b
,,Cep85
,,Trim59
,,Fosb
,,Pafah2
,,Psma2
,,Invs
,,Cplane2
,,Mir7682
,,Klrb1b
,,Parp9
,,Slc22a26
,,Fam81a
,,Pdss2
,,Igsf5
,,Tmem94
,,Snx14
,,Mtmr3
,,Dnajc22
,,Rpl30
,,Polr2h
,,Cbfa2t3
,,Usp53
,,Hnrnpul1
,,Insyn2a
,,Adgrf1
,,F11r
,,Golga2
,,Atg2b
,,Tmem209
,,Zfp2
,,Gm4890
,,Abca4
,,Tcf3
,,Vmn1r3
,,Ildr2
,,Mir1898
,,Parp3
,,Pde9a
,,Pln
,,Supt5
,,Scaper
,,Mir762
,,Ccdc148
,,Mctp2
,,Crtc2
,,Stub1
,,Nrg1
,,Zfp143
,,5430421F17Rik
,,Lrrc69
,,Mir7212
,,Pnp
,,Fbxo34
,,Ifitm7
,,Ywhaz
,,Akt1s1
,,Urah
,,Rnf113a2
,,Cox7c
,,Il34
,,Mir361
,,Sptlc2
,,Cct3
,,Gm11696
,,2310001K24Rik
,,Phf20
,,Atrx
,,Cacnb4
,,Angpt2
,,Tdp2
,,Ccnd1
,,Kcnj13
,,Irf3
,,Sybu
,,Marveld1
,,BC002163
,,Surf1
,,Atp6v1g1
,,Sorcs3
,,Pex11a
,,Gm15880
,,Cux1
,,Arf4
,,4933417E11Rik
,,Prr14
,,Ssc4d
,,Qpct
,,Slc50a1
,,Kdsr
,,Loxl4
,,LOC102631757
,,Akap1
,,Egr1
,,Vamp2
,,Taf8
,,Sgsm2
,,Pex7
,,Tnrc6a
,,Cep95
,,Snord58b
,,Vmn1r90
,,Irgm1
,,Fech
,,Gng7
,,Yif1b
,,Cyp2c67
,,Oasl2
,,Lacc1
,,Depdc7
,,Prodh2
,,Apol9a
,,Mapkapk5
,,Plb1
,,Rpl9
,,Gm13710
,,B3galt6
,,Rrbp1
,,Ppip5k2
,,Hipk3
,,Gm5544
,,Tm9sf3
,,Sharpin
,,Twf2
,,Olfr16
,,Fam135a
,,Gbp11
,,Cyb5r3
,,Rhpn2
,,Csnk1a1
,,Spry4
,,Mmaa
,,Sorbs2os
,,Ermard
,,Scfd1
,,Plek2
,,4833420G17Rik
,,Hibch
,,Dnajc5
,,Rad17
,,Serpina4-ps1
,,4930511A08Rik
,,Sfpq
,,Rbm8a
,,C1s1
,,Gnb1
,,Uhrf2
,,Lnx1
,,Wdr12
,,Tbc1d20
,,Bzw1
,,Ipo8
,,Gng4
,,Gm17830
,,Me1
,,A730017L22Rik
,,Pgd
,,Tmem38a
,,Mmp14
,,Dnttip2
,,Rab28
,,Srprb
,,Fryl
,,Cyp2c37
,,Ino80
,,Zfat
,,Rnft1
,,Mir698
,,Ash1l
,,Mir7670
,,Phgdh
,,A330008L17Rik
,,Utp20
,,Pabpc2
,,Wdr20
,,Zfhx3
,,F12
,,Sh2d4a
,,Acvrl1
,,Rplp0
,,Wdr82
,,Bsg
,,Dcun1d1
,,Mpst
,,Pcmtd2
,,Ddx56
,,Taf5
,,Spc24
,,Ugt2b37
,,Rev1
,,Tmem25
,,Pank2
,,Gm19582
,,B3gat3
,,Mir6541
,,F13b
,,4933406C10Rik
,,Fam220a
,,Cxcl17
,,Cog4
,,1700084E18Rik
,,Grb10
,,Man1a2
,,Ldhb
,,Slx4
,,Dym
,,Tent5c
,,Shcbp1
,,Gm7168
,,Amdhd2
,,Hist1h4d
,,Hnrnpd
,,Paxx
,,Gm6297
,,Gpx7
,,Nmrk1
,,Armc2
,,Taco1
,,Gcsh
,,Lsr
,,Tkt
,,G630025P09Rik
,,Sulf2
,,Klhdc2
,,Plscr1
,,Arl9
,,Stard7
,,Gm31108
,,Sec23ip
,,Txnrd1
,,Olfr267
,,Agxt
,,Rskr
,,Csrnp1
,,Mmp21
,,Ank2
,,Rel
,,1700029N11Rik
,,Mettl26
,,Abcc10
,,Clns1a
,,Ube2v2
,,Cpsf4l
,,Myo1d
,,Cd9
,,Apol9b
,,Prkca
,,Nars
,,Parn
,,Cipc
,,Cenpl
,,Mapk7
,,Mrpl48
,,Dnmt3aos
,,Safb2
,,Jph2
,,Chml
,,AW112010
,,Entpd4
,,3110056K07Rik
,,Ccar1
,,Snord85
,,Tmem126a
,,Nktr
,,Piwil2
,,Fhl4
,,Zbtb17
,,Camk2b
,,Utrn
,,Gm16853
,,Aftph
,,Slc35e3
,,Synj1
,,Zdhhc12
,,Atg101
,,Lcp1
,,Zfp106
,,Snord17
,,Cyp4f14
,,Lipe
,,Igsf23
,,Pnmal1
,,Get4
,,Rab11fip4os2
,,Snap29
,,Tlr9
,,Frrs1l
,,Gale
,,Pitpnb
,,Mtfr2
,,Oplah
,,Mindy3
,,Heatr5b
,,Aldh6a1
,,Xrn2
,,Chsy3
,,Fbxl20
,,Gjb1
,,Map3k21
,,Serpine1
,,Srp68
,,Fam83a
,,A730056A06Rik
,,Cphx2
,,Map2k7
,,Morf4l2
,,Gin1
,,Scgb1a1
,,Rexo4
,,Brwd1
,,Gas7
,,Ilf3
,,Necab1
,,Sh2d5
,,Actr2
,,Sult2a5
,,Golga5
,,Mir3471-2
,,Tlr1
,,Mal2
,,Gk
,,Mir1192
,,Uqcrb
,,Yars
,,Zfp871
,,Mir1982
,,1500026H17Rik
,,Pdxk-ps
,,Edem3
,,Mir6961
,,Pla2g15
,,Chrm4
,,Gm5617
,,Atp2b2
,,Ccn1
,,Zfp687
,,Zadh2
,,Oxr1
,,Erg28
,,Pcca
,,Fcho2
,,Isyna1
,,Ensa
,,Oaz1
,,Pitpnm2
,,Klhl24
,,Tmem201
,,Gm21859
,,Nek9
,,Pdcd1lg2
,,Ptms
,,Egln1
,,1700064J06Rik
,,Zranb3
,,Eps8
,,Gm7457
,,Cfap36
,,Pdp1
,,Il1rl2
,,Psmd4
,,Fanca
,,Ppp4r3b
,,Akap9
,,Mdh2
,,Clcn3
,,Gm10790
,,Atg16l1
,,Fmc1
,,Eif4ebp2
,,Slc22a30
,,Psmg2
,,Sar1a
,,Pbk
,,Usp39
,,4930480K23Rik
,,Fus
,,Gm38397
,,Pcbd2
,,Supt6
,,Cxxc5
,,Rab11b
,,Tnrc6b
,,Rcor1
,,Tmem245
,,Zbtb8os
