Compound Name, RT, Mass,COLD,RT, Liver 07 45x pos 080921 052, Liver 08 45x pos 080921 050, Liver 09 45x pos 080921 065, Liver 10 45x pos 080921 057, Liver 11 45x pos 080921 056, Liver 12 45x pos 080921 062, Liver 01 45x pos 080921 064, Liver 02 45x pos 080921 063, Liver 03 45x pos 080921 059, Liver 04 45x pos 080921 058, Liver 05 5x pos 080921 068, Liver 06 45x pos 080921 051,FC,P_VAL,log_FC
,7.789,521.5903,5883.112,4884.566,5098.149,5993.727,5908.467,5857.757,5444.939,5930.454,4390.853,4872.389,4896.743,5505.02,4581.235,5336.69,1.204428807,0.006629372,
,7.465,1237.3011,0.001,2352.9635,0.001,0.001,0.001,2982.025,0.001,0.001,1920.307,1705.619,2330.397,2375.53,2772.819,2505.647,4.24996E-07,0.00684554,
,8.936,795.6142,30705.445,24012.73,35213.52,33195.47,29195.16,30394.2,31016.69,27143.28,24678.18,15861.85,28335.11,27764.9,23347.28,21136.36,1.27871529,0.007007411,
,8.163,657.5331,17793.37,11693.675,24140.44,19218.68,15641.92,16368.06,20556.28,13849.32,12159.51,0.001,11727.52,13691.14,11659.83,8987.8,1.521623442,0.007141693,
,7.717,655.5179,5074.136,3065.6865,7329.034,5047.83,4845.115,5100.442,6597.318,4069.384,4540.208,0.001,3703.776,3111.625,2377.093,3019.748,1.65513858,0.007177699,
,8.085,834.3127,15316.745,7027.7735,16419.2,15302.78,13826.15,15926.35,15330.71,14515.24,10234.43,5585.475,0.001,8470.072,15851.16,0.001,2.179459113,0.007396051,
,8.303,1022.4461,6010.655,5205.3705,6274.449,5743.089,6304.014,5997.486,6023.824,5649.447,4776.392,5186.917,3973.259,5223.824,5520.551,5745.716,1.154702629,0.00775884,
,8.414,336.2666,15191.005,10908.23,16819.07,15664.15,14717.86,12693.3,18994.13,11822.81,11950.42,6831.351,13083.57,10520.57,11295.89,9150.711,1.392618692,0.008136175,
,8.664,861.6246,13428.935,9035.435,13512.56,11157.59,14866.74,13345.31,15247.52,10448.87,8528.704,6429.946,9542.166,10831.28,11636.91,4198.893,1.486252184,0.008174234,
,9.926,338.2821,10282.4875,6457.039,11733.15,10583.18,9715.967,9981.795,11001.79,6731.559,9255.276,2985.186,6676.226,7512.71,6237.852,4494.738,1.592446244,0.008357397,
,7.598,1226.8153,595.122,8293.273,1190.243,7165.584,0.001,0.001,7923.299,0.001,7975.149,8611.397,8686.118,9277.55,6714.021,6573.042,0.071759606,0.008406392,
,10.977,685.5775,19553.225,15010.945,20426.74,23489.98,18059.7,18679.71,22733.33,17926.56,15910,9549.62,16487.25,19298.77,14111.89,12871.09,1.302597871,0.008445653,
,7.684,1184.8422,4630.199,2977.6805,4902.236,5077.175,2809.319,4358.162,4004.281,6023.094,2417.449,3070.343,2710.096,3151.136,3618.712,2885.018,1.554968372,0.008450535,
,10.051,658.4941,16653.05,12163.13,21394.5,16259.33,16097.67,13897.11,20171.48,17046.77,15829.65,5931.008,12333.61,13216.82,11992.65,11243.35,1.369141825,0.008560582,
,6.804,780.0853,608.2265,1748.8495,1216.452,1324.453,1330.946,0.001,0.001,0.001,1899.897,1115.4,1831.618,1866.716,1605.759,1666.081,0.347786645,0.008616492,
,6.916,888.5217,7735.1435,6605.678,8864.16,7899.307,8186.763,7570.98,6988.702,7253.467,5138.816,4586.119,6491.376,6719.98,7211.124,6739.575,1.170984038,0.008684662,
,10.982,858.5586,13106.735,14820.415,12882.08,14831.77,13900.45,12118.02,12610.66,13331.39,14214.86,16697.04,16069.68,15052.57,14588.26,14284.16,0.884370309,0.008688827,
,6.239,777.591,1865.9375,1196.297,2170.495,1881.943,1957.075,1805.894,1849.932,1380.485,1377.263,0.001,1461.907,1235.715,0.001,1156.879,1.559761079,0.008789605,
,7.258,559.429,2114.7795,911.5534,2321.585,1316.245,2282.025,2115.427,1694.654,2114.132,1901,0.001,1367.265,1064.688,0.001,758.4188,2.319973246,0.008989808,
,6.75,845.5164,49367.155,29782.61,56244.27,46837.93,37880.35,58781.97,51896.38,37131.53,37310.12,11901.04,38159.96,40552.77,22255.1,20511.57,1.657583234,0.009064837,
