Lipid,log2(FC),-log10(p),sig_FDR,diffexpressed,delabel,label,FC,p_val
CL 74:6,0.325040955,0.3891,FALSE,NO,NA,not,1.2527,0.4082
CL 74:7,0.207767938,0.4647,FALSE,NO,NA,not,1.1549,0.343
CL 74:8,0.175301034,0.3291,FALSE,NO,NA,not,1.1292,0.4687
CL 74:8_2,0.211012193,0.4301,FALSE,NO,NA,not,1.1575,0.3714
CL 74:9,-0.034603564,0.0633,FALSE,NO,NA,not,0.9763,0.8644
CL 74:9_2,0.01235413,0.0283,FALSE,NO,NA,not,1.0086,0.9369
CL 76:11,-0.130997235,0.1719,FALSE,NO,NA,not,0.9132,0.6731
CL 76:12,0.10017032,0.2007,FALSE,NO,NA,not,1.0719,0.6299
CL 76:13,0.144437998,0.2746,FALSE,NO,NA,not,1.1053,0.5314
DG 16:0_18:1,-0.939537512,1.1642,TRUE,DOWN,DG 16:0_18:1,sig,0.5214,0.0685
DG 16:0_18:2,-1.058893689,1.256,TRUE,DOWN,DG 16:0_18:2,sig,0.48,0.0555
DG 16:0_20:4,-1.975964065,1.4729,TRUE,DOWN,DG 16:0_20:4,sig,0.2542,0.0337
DG 16:0_22:6,-1.548353672,1.2031,TRUE,DOWN,DG 16:0_22:6,sig,0.3419,0.0626
DG 18:0_18:2,-0.972562817,0.9066,TRUE,DOWN,DG 18:0_18:2,sig,0.5096,0.124
DG 18:0_20:4,-1.46873084,0.7567,FALSE,NO,NA,not,0.3613,0.1751
DG 18:1_18:1,-0.662688523,0.871,TRUE,DOWN,DG 18:1_18:1,sig,0.6317,0.1346
DG 18:1_18:2,-0.738409011,0.9345,TRUE,DOWN,DG 18:1_18:2,sig,0.5994,0.1163
DG 18:2_18:2,-1.066427362,0.9374,TRUE,DOWN,DG 18:2_18:2,sig,0.4775,0.1155
DG 18:2_22:6,-1.120607897,0.8095,FALSE,NO,NA,not,0.4599,0.1551
EtherPC 16:0e_20:4,-0.121549297,0.4066,FALSE,NO,NA,not,0.9192,0.3921
EtherPC 18:0e_18:2,-0.071724438,0.0844,FALSE,NO,NA,not,0.9515,0.8234
EtherPC 18:0e_20:4,0.381947801,1.031,TRUE,UP,EtherPC 18:0e_20:4,sig,1.3031,0.0931
