RT,mz,Theo mz,Abundance,Lipid Class,Compound Name
2.557,473.2827,NA,130640,NA,NA
10.367,732.5762,NA,130387,NA,NA
8.86,863.5659,863.5655,129904,Phosphatidylinositol,PI 18:0_18:1
9.248,776.5598,776.56,128093,Ether-linked phosphatidylethanolamine,EtherPE 18:0e_22:6
6.863,774.5289,774.5291,127366,Phosphatidylcholine,PC 32:2
11.492,762.6229,NA,127328,NA,NA
9.367,726.5443,726.5443,126643,Ether-linked phosphatidylethanolamine,EtherPE 18:2e_18:1
7.211,758.4979,758.4978,126107,Phosphatidylserine,PS 16:0_18:2
8.684,766.5391,NA,125952,NA,NA
6.137,574.4511,NA,125287,NA,NA
4.48,669.5785,NA,121623,NA,NA
10.963,746.5916,NA,118702,NA,NA
7.144,769.5023,769.5025,118555,Phosphatidylglycerol,PG 16:0_20:4
8.351,816.5759,816.576,117790,Phosphatidylcholine,PC 17:0_18:2
7.735,850.5613,850.5604,116573,Phosphatidylcholine,PC 16:0_22:6
6.432,898.5603,NA,115772,NA,NA
6.843,632.4926,NA,115714,NA,NA
9.601,855.6595,855.6597,115514,Sphingomyelin,SM d42:3
0.587,201.0578,NA,115482,NA,NA
12.646,1495.9641,1495.9649,114549,Cardiolipin,CL 76:12
0.573,598.246,NA,114101,NA,NA
7.202,849.5649,NA,113841,NA,NA
8.849,913.5816,913.5812,113116,Phosphatidylinositol,PI 20:0_20:4
10.916,720.5759,NA,112261,NA,NA
8.397,836.5445,836.5447,112162,Phosphatidylserine,PS 18:0_22:5
7.192,774.5079,774.5079,112117,Phosphatidylethanolamine,PE 17:1_22:6
7.189,602.4824,NA,111673,NA,NA
8.381,766.539,766.5392,111292,Phosphatidylethanolamine,PE 18:1_20:3
9.114,818.5915,818.5917,111124,Phosphatidylcholine,PC 17:0_18:1
9.661,858.6229,858.623,110331,Phosphatidylcholine,PC 18:0_20:2
3.897,329.2487,NA,110161,NA,NA
14.167,1427.9954,1427.9962,110039,Cardiolipin,CL 70:4
8.032,852.5756,852.576,110034,Phosphatidylcholine,PC 18:0_20:5
2.732,557.2369,NA,109896,NA,NA
7.555,740.5463,740.5464,109684,Phosphatidylglycerol,PG 15:0_18:1(d7)
0.883,407.2805,NA,109212,NA,NA
0.493,267.0738,NA,108879,NA,NA
5.683,665.44,665.4399,108670,Phosphatidylglycerol,PG 14:0_14:0
7.166,895.5341,895.5342,107824,Phosphatidylinositol,PI 17:0_22:6
6.451,824.5443,824.5447,106991,Phosphatidylcholine,PC 18:2_18:3
7.414,885.55,885.5499,106397,Phosphatidylinositol,PI 18:1_20:3
3.756,1091.7256,NA,105860,NA,NA
9.185,790.5967,790.5967,105606,Ether-linked phosphatidylcholine,EtherPC 18:1e_16:0
6.3,848.5447,848.5447,105476,Phosphatidylcholine,PC 18:2_20:5
13.466,1475.9951,1475.9962,105269,Cardiolipin,CL 74:8
5.53,409.3112,NA,105158,NA,NA
8.552,913.5813,913.5812,104362,Phosphatidylinositol,PI 18:0_22:4
9.392,878.6033,NA,104315,NA,NA
9.522,726.5441,726.5443,103937,Ether-linked phosphatidylethanolamine,EtherPE 18:1e_18:2
9.542,829.6438,829.644,103643,Sphingomyelin,SM d40:2
9.259,844.6072,844.6073,103585,Phosphatidylcholine,PC 19:0_18:2
6.527,795.5181,795.5182,103340,Phosphatidylglycerol,PG 18:1_20:4
8.184,790.5601,790.5604,101486,Phosphatidylcholine,PC 16:0_17:1
4.954,736.5191,NA,98070,NA,NA
7.152,719.4866,719.4869,97797,Phosphatidylglycerol,PG 16:0_16:1
6.532,618.4772,NA,96833,NA,NA
6.263,618.4772,NA,96535,NA,NA
10.197,906.6343,NA,96244,NA,NA
6.281,574.4511,NA,94856,NA,NA
10.552,772.5862,772.5862,92858,Phosphatidylethanolamine,PE 18:0_20:1
6.518,822.5292,NA,92393,NA,NA
10.164,872.683,NA,92080,NA,NA
11.538,748.6072,NA,91669,NA,NA
11.693,670.5911,NA,91171,NA,NA
