"","Lipid","sig_FDR","diffexpressed","FC","p_val","log_p","delabel","label","log_FC","q_val","my_color"
"947","7.154_1218.8274",FALSE,"NO",1.061138671,0.220158126,0.657265280171158,NA,NA,0.0856132018619102,0.321235975296324,"no"
"948","8.535_1141.4994",FALSE,"NO",2.227880458,0.220490833,0.656609461798292,NA,NA,1.15567182366653,0.321480262507496,"no"
"949","7.347_390.2772",FALSE,"NO",0.930699015,0.221025811,0.655557007218374,NA,NA,-0.10361341450772,0.322018878198502,"no"
"950","8.763_684.4285",FALSE,"NO",0.328587995,0.221212321,0.65519068752425,NA,NA,-1.60564832266495,0.322049374509731,"no"
"951","7.421_790.2755",FALSE,"NO",1.38272e-06,0.222377289,0.652909568554099,NA,NA,-19.4640595281713,0.322785473783582,"no"
"952","6.915_782.0136",FALSE,"NO",3.277900239,0.222381766,0.652900825229489,NA,NA,1.71277194751544,0.322785473783582,"no"
"953","9.773_788.4802",FALSE,"NO",0.878117664,0.22374961,0.650237712995271,NA,NA,-0.187513827227323,0.324286878874814,"no"
"954","7.157_806.1329",FALSE,"NO",8.30203e-08,0.224429856,0.648919369191467,NA,NA,-23.5219606138626,0.324793308550186,"no"
"955","8.54_1079.5261",FALSE,"NO",0.931411331,0.224541402,0.648703570017636,NA,NA,-0.102509661646801,0.324793308550186,"no"
"956","10.556_826.6934",FALSE,"NO",1.227605389,0.225812176,0.646252644222198,NA,NA,0.295846884141629,0.325587028028169,"no"
"957","8.224_704.4776",FALSE,"NO",1.169065761,0.225818458,0.646240562499967,NA,NA,0.225356085045092,0.325587028028169,"no"
"958","8.372_758.0615",FALSE,"NO",0.855206021,0.22673692,0.644477757126392,NA,NA,-0.225656084630335,0.326185879733728,"no"
"959","7.157_825.0327",FALSE,"NO",0.848551042,0.227859153,0.642333521316543,NA,NA,-0.23692665158908,0.327075965608856,"no"
"960","7.634_183.066",FALSE,"NO",1.064880345,0.22786012,0.642331678239943,NA,NA,0.0906913315090725,0.327075965608856,"no"
"961","8.38_414.3023",FALSE,"NO",0.845979171,0.228104188,0.641866740989931,NA,NA,-0.241305951949863,0.327184841932153,"no"
"962","10.108_268.2192",FALSE,"NO",0.774849023,0.229276301,0.63964083352492,NA,NA,-0.368012861904344,0.328623732826087,"no"
"963","7.821_862.5569",FALSE,"NO",1.529067782,0.231110941,0.636179494142475,NA,NA,0.61265236130159,0.330522632533088,"no"
"964","9.911_684.502",FALSE,"NO",6.08417e-07,0.231429633,0.635581033351321,NA,NA,-20.6484361997207,0.330595981398243,"no"
"965","8.631_717.5311",FALSE,"NO",1.462747103,0.231505392,0.635438889360604,NA,NA,0.548680360873524,0.330595981398243,"no"
"966","8.278_636.4732",FALSE,"NO",0.748718998,0.231872723,0.634750337810219,NA,NA,-0.417503733022844,0.330595981398243,"no"
"967","8.403_909.0496",FALSE,"NO",1.103350206,0.231996829,0.634517951131573,NA,NA,0.141890778480282,0.330595981398243,"no"
"968","7.183_1477.0154",FALSE,"NO",1.145742789,0.232182062,0.634171336170849,NA,NA,0.196283205802405,0.330595981398243,"no"
"969","8.389_816.963",FALSE,"NO",2.708612332,0.233592665,0.631540798546105,NA,NA,1.43755392372711,0.331899684521549,"no"
